Description	Project	Lab	Assay	Data Type	Validation Dataset	Experimental Factor	Replicates	Treatment	Organism	Cell Line	Strain	Tissue	Stage/Treatment	Date Data Submitted	Release Date	Status	Submission ID	GEO/SRA IDs	GFF Files
small RNA N2 embryos RNA-seq	Waterston	Slack	RNA-seq	RNA profiling		RNAsize=<200bp	1		Caenorhabditis elegans		N2	whole organism	embryo: embryo	2009-06-15	2009-06-23	released	634	GSM336052	
small RNA N2 mid-L1 RNA-seq	Waterston	Slack	RNA-seq	RNA profiling		RNAsize=<200bp	1		Caenorhabditis elegans		N2	whole organism	larva: L1 larva	2009-06-15	2009-06-23	released	635	GSM336055	
small RNA N2 mid-L2 RNA-seq	Waterston	Slack	RNA-seq	RNA profiling		RNAsize=<200bp	1		Caenorhabditis elegans		N2	whole organism	larva: L2 larva	2009-06-15	2009-06-23	released	636	GSM336056	
small RNA N2 mid-L3 RNA-seq	Waterston	Slack	RNA-seq	RNA profiling		RNAsize=<200bp	1		Caenorhabditis elegans		N2	whole organism	larva: L3 larva	2009-06-15	2009-06-23	released	637	GSM336058	
small RNA N2 mid-L4 RNA-seq	Waterston	Slack	RNA-seq	RNA profiling		RNAsize=<200bp	1		Caenorhabditis elegans		N2	whole organism	larva: L4 larva	2009-06-15	2009-06-23	released	638	GSM336059	
small RNA N2 young adult RNA-seq	Waterston	Slack	RNA-seq	RNA profiling		RNAsize=<200bp	1		Caenorhabditis elegans		N2	whole organism	larva: newly molted young adult hermaphrodite	2009-06-15	2009-06-23	released	639	GSM336060	
small RNA him-8 males RNA-seq	Waterston	Slack	RNA-seq	RNA profiling		RNAsize=<200bp	1		Caenorhabditis elegans		CB4689	whole organism	adult: adult male	2009-06-15	2009-06-23	released	640	GSM336086	
mid-L2 20dC 14hrs post-L1 RNASeq	Waterston	Waterston	RNA-seq	RNA profiling		Version=2	1		Caenorhabditis elegans		N2	whole organism	larva: L2 larva	2009-09-17	2009-11-19	replaced	642 deprecated by 2351	SRX001872	
DPY-28_N2_MXEMB_(JL00012_DPY28_N2_MXEMB)	Lieb	Lieb	ChIP-chip	chromatin		Target=dpy-28;AbName=JL00012_DPY28;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: proliferating embryo	2009-06-16	2009-08-31	released	644	GSE22708, GSM562684, GSM562685	
SDC-2_N2_MXEMB_(SDQ3146_SDC2_N2_MXEMB)	Lieb	Lieb	ChIP-chip	chromatin		Target=sdc-2;AbName=SDQ3146_SDC2, SDQ3148_SDC2;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: proliferating embryo	2009-06-17	2009-08-04	released	645	GSE22709, GSM562686, GSM562687, GSM562688	
embryo A-class motor neurons tiling array	Waterston	Miller	tiling array: RNA	transcription		Array=25bp;ArrayPlatform=Affymetrix	1		Caenorhabditis elegans		NC300	DA neuron, SAB, I5	embryo: embryo	2009-06-22	2009-11-04	released	654	GSE23278, GSM571513, GSM571514, GSM571515	emb-A-class_tars_maxgap30_minrun100_thresh8.81.gff3
L3-L4 dopaminergic neuron tiling array	Waterston	Miller	tiling array: RNA	transcription		Target=dat-1;AbName=EZview Red FLAG M2 Affinity Gel;Array=25bp;ArrayPlatform=Affymetrix	1		Caenorhabditis elegans		NC1700	dopaminergic neuron	larva: L3-L4 molt	2009-06-22	2009-11-19	released	655	GSE23279, GSM571516, GSM571517, GSM571518	L3-L4-dop_tars_maxgap30_minrun100_thresh10.14.gff3
Young Adult reference (mockIP) tiling array	Waterston	Miller	tiling array: RNA	transcription		Target=FLAG;AbName=EZview Red FLAG M2 Affinity Gel;Array=25bp;ArrayPlatform=Affymetrix	1		Caenorhabditis elegans		N2	organism	larva: newly molted young adult hermaphrodite	2009-06-22	2009-11-19	released	656	GSE23280, GSM571519, GSM571520, GSM571521	YA-ref_tars_maxgap30_minrun100_thresh9.66.gff3
L2 coelomocytes tiling array	Waterston	Miller	tiling array: RNA	transcription		Target=unc-122;AbName=EZview Red FLAG M2 Affinity Gel;Array=25bp;ArrayPlatform=Affymetrix	1		Caenorhabditis elegans		NC1668	coelomocyte	larva: L2 larva	2009-06-22	2009-11-19	released	657	GSE23281, GSM571522, GSM571523, GSM571524	L2-coelomocytes_tars_maxgap30_minrun100_thresh9.13.gff3
L2 glutamate receptor expressing neurons tiling array	Waterston	Miller	tiling array: RNA	transcription		Target=glr-1;AbName=EZview Red FLAG M2 Affinity Gel;Array=25bp;ArrayPlatform=Affymetrix	1		Caenorhabditis elegans		NC1842	RMD, SMD, URY, AIB, AVA, AVB, AVD, AVE, AVG, PVC, PVQ, RIM	larva: L2 larva	2009-06-22	2009-11-19	released	658	GSE23282, GSM571525, GSM571526, GSM571527	L2-glr_tars_maxgap30_minrun100_thresh9.98.gff3
L3-L4 reference (mockIP) tiling array	Waterston	Miller	tiling array: RNA	transcription		Target=FLAG;AbName=EZview Red FLAG M2 Affinity Gel;Array=25bp;ArrayPlatform=Affymetrix	1		Caenorhabditis elegans		N2	organism	larva: L3-L4 molt	2009-06-22	2009-11-19	released	659	GSE23283, GSM571528, GSM571529, GSM571530	L3-L4-reference_tars_maxgap30_minrun100_thresh8.52.gff3
Young Adult Cephalic sheath (CEPsh) tiling array	Waterston	Miller	tiling array: RNA	transcription		Target=hlh-17;AbName=EZview Red FLAG M2 Affinity Gel;Array=25bp;ArrayPlatform=Affymetrix	1		Caenorhabditis elegans		OS3991	CEPshDR, CEPshVR, CEPshVL	larva: newly molted young adult hermaphrodite	2009-06-22	2009-11-19	released	660	GSE23284, GSM571531, GSM571532, GSM571533	YA-CEPsh_tars_maxgap30_minrun100_thresh8.38.gff3
embryo germline precursor cells tiling array	Waterston	Miller	tiling array: RNA	transcription		Array=25bp;ArrayPlatform=Affymetrix	1		Caenorhabditis elegans		SS747	germ line precursor cell	embryo: embryo	2009-06-22	2009-11-04	released	661	GSE23285, GSM571534, GSM571535, GSM571536	emb-GLP_tars_maxgap30_minrun100_thresh7.83.gff3
embryo hypodermal cells tiling array	Waterston	Miller	tiling array: RNA	transcription		Array=25bp;ArrayPlatform=Affymetrix	1		Caenorhabditis elegans		DM8001	hypodermal cell	embryo: embryo	2009-06-22	2009-11-04	released	662	GSE23286, GSM571537, GSM571538, GSM571539	emb-hypodermis_tars_maxgap30_minrun100_thresh7.75.gff3
Pol_II_CTD_N2_EEMB_(ABAB817_8WG16_N2_EEMB)	Lieb	Strome	ChIP-chip	chromatin		Target=ama-1;AbName=ABAB817_8WG16;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: blastula embryo, gastrulating embryo	2009-06-26	2010-02-17	released	663	GSE22710, GSM562689, GSM562690, GSM562691	
Histone_H3K9me3_N2_EEMB_1_(UP07442_H3K9ME3_N2_EEMB)	Lieb	Strome	ChIP-chip	chromatin modification		Target=H3K9Me3;AbName=H3K9Me3;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: blastula embryo, gastrulating embryo	2009-07-06	2010-02-17	released	691	GSE22711, GSM562692, GSM562693, GSM562694	
DPY27_11DH(I;X)_MXEMB(JL00001_DPY27_11DH_MXEMB)	Lieb	Lieb	ChIP-chip	chromatin		Target=dpy-27;AbName=JL00001_DPY27;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		YPT40	whole organism	embryo: proliferating embryo	2009-07-08	2010-02-17	released	693	GSE22712, GSM562695, GSM562696	
DPY27_YPT41(II;X)_MXEMB(JL00001_DPY27_YPT41_MXEMB)	Lieb	Lieb	ChIP-chip	chromatin		Target=dpy-27;AbName=JL00001_DPY27;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		YPT41	whole organism	embryo: proliferating embryo	2009-07-08	2010-02-17	released	695	GSE22713, GSM562697, GSM562698	
DPY27_YPT47(V;X)_MXEMB(JL00001_DPY27_YPT47_MXEMB)	Lieb	Lieb	ChIP-chip	chromatin		Target=dpy-27;AbName=JL00001_DPY27;Array=86bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		YPT47	whole organism	embryo: proliferating embryo	2009-07-09	2009-08-04	released	696	GSE22714, GSM562699, GSM562700, GSM562701	
SDC3_YPT47(V;X)_MXEMB(JL00002_SDC3_YPT47_MXEMB)	Lieb	Lieb	ChIP-chip	chromatin		Target=sdc-3;AbName=JL00002_SDC3;Array=86bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		YPT47	whole organism	embryo: proliferating embryo	2009-07-10	2009-08-04	released	701	GSE22715, GSM562702, GSM562703	
Snyder_CEH-14_GFP_L2	Snyder	Snyder	ChIP-seq	chromatin		Target=ceh-14;AbName=eGFP	3		Caenorhabditis elegans		OP73	whole organism	larva: L2 larva	2009-07-20	2009-11-28	released	734	GSM435293	Snyder_CEH-14_GFP_L2_combined_peaks.GFF3
3'UTR 454 sequencing pilot - Level 1	Piano	Piano	RACE	raw sequences			6		Caenorhabditis elegans		N2	whole organism	mixed: L1 larva, L2 larva, L3 larva, L4 larva, adult, embryo	2009-09-04	2009-11-04	released	896	GSM443959	
MRG-1_N2_EEMB_(SDQ0790_MRG1_N2_EEMB)	Lieb	Strome	ChIP-chip	chromatin		Target=mrg-1;AbName=SDQ0790_MRG1;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: blastula embryo, gastrulating embryo	2009-09-07	2009-11-27	released	897	GSE22716, GSM562704, GSM562705, GSM562706	
Histone_H3K36me2_N2_EEMB_(HK00012_H3K36ME22C3_N2_EEMB)	Lieb	Strome	ChIP-chip	chromatin modification		Target=H3K36Me3;AbName=H3K36Me3;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: blastula embryo, gastrulating embryo	2009-09-07	2009-11-27	released	909	GSE22717, GSM562707, GSM562708	
MES-4_N2_EEMB_(SDQ0791_MES4_N2_EEMB)	Lieb	Strome	ChIP-chip	chromatin		Target=mes-4;AbName=SDQ0791_MES4;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: blastula embryo, gastrulating embryo	2009-09-07	2009-11-27	released	911	GSE22718, GSM562709, GSM562710, GSM562711	
Histone_H3K36me3_N2_EEMB_(HK00001_H3K36ME313C9_N2_EEMB)	Lieb	Strome	ChIP-chip	chromatin modification		Target=H3K36Me3;AbName=H3K36Me3;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: blastula embryo, gastrulating embryo	2009-09-07	2009-11-27	released	973	GSE22719, GSM562712, GSM562713, GSM562714	
Histone_H3K9me3_N2_EEMB_2_(HK00009_H3K9ME32F3_N2_EEMB)	Lieb	Strome	ChIP-chip	chromatin modification		Target=H3K9Me3;AbName=H3K9Me3;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: blastula embryo, gastrulating embryo	2009-09-07	2009-09-07	released	982	GSE22720, GSM562715, GSM562716	
3' UTR 454 sequencing pilot - alignments	Piano	Piano	RACE	gene model			6		Caenorhabditis elegans		N2	whole organism	mixed: L1 larva, L2 larva, L3 larva, L4 larva, adult, embryo	2009-09-04	2009-11-16	released	992	GSM443959	
Intron Confirmation Chromosome II 2009-09-21	Waterston	Green	RTPCR	gene model		Reactions=473;Features=709	1		Caenorhabditis elegans		N2	whole organism	mixed: L1 larva, L2 larva, L3 larva, L4 larva, adult, all stages, dauer larva, embryo	2009-09-21	2009-09-27	released	2304		set.20090921.2_3_2_2_4_3_3_2_2.ws180.gff
Histone_H3K4me3_N2_EEMB_(WA30534819_H3K4ME3_N2_EEMB)	Lieb	Strome	ChIP-chip	chromatin modification		Target=H3K4Me3;AbName=H3K4Me3;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: blastula embryo, gastrulating embryo	2009-09-07	2009-11-27	replaced	2311 deprecated by 3197	GSE22721, GSM562717, GSM562718	
Histone_H3_N2_EEMB_1_(AR0144_H3144_N2_EEMB)	Lieb	Strome	ChIP-chip	chromatin modification		Target=H3;AbName=H3;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: blastula embryo, gastrulating embryo	2009-09-23	2009-11-27	released	2312	GSE22722, GSM562719, GSM562720, GSM562721	
Histone_H3_N2_EEMB_2_(AB1791_H3609253_N2_EEMB)	Lieb	Strome	ChIP-chip	chromatin modification		Target=H3;AbName=H3;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: blastula embryo, gastrulating embryo	2009-09-24	2009-11-27	released	2313	GSE22723, GSM562722, GSM562723	
RNAseq - early embryo sequences & alignments	Waterston	Waterston	RNA-seq	RNA profiling			1		Caenorhabditis elegans		N2	whole organism	embryo: blastula embryo, gastrulating embryo	2009-09-29	2009-11-16	released	2321	SRX004863, SRX004864	
RNAseq - late embryo 20dC 4.5hrs post-early embryo sequences & alignments	Waterston	Waterston	RNA-seq	RNA profiling			1		Caenorhabditis elegans		N2	whole organism	embryo: elongating embryo, enclosing embryo, fully-elongated embryo, late cleavage stage embryo	2009-09-29	2009-11-16	released	2324	SRX004865, SRX004866	
RNAseq - male mid-L4 dpy28(y1);him-8(e1489) 25dC 30hrs post-L1 sequences & alignments	Waterston	Waterston	RNA-seq	RNA profiling			1		Caenorhabditis elegans		CB4689	whole organism	larva: L4 larva male	2009-09-29	2009-11-16	released	2325	SRX004868	
RNAseq - mid-L1 20dC 4hrs post-L1 sequences & alignments	Waterston	Waterston	RNA-seq	RNA profiling			1		Caenorhabditis elegans		N2	whole organism	larva: L1 larva	2009-09-29	2009-11-16	released	2326	SRX004867	
3' UTR Staged 454 Sequencing - L1 - alignments	Piano	Piano	RACE	gene model			1		Caenorhabditis elegans		N2	whole organism	larva: L1 larva	2009-09-29	2009-11-16	released	2327	GSM446652	
3' UTR Staged 454 Sequencing - L2 - alignments	Piano	Piano	RACE	gene model			1		Caenorhabditis elegans		N2	whole organism	larva: L2 larva	2009-09-29	2009-11-16	released	2328	GSM446653	
3' UTR Staged 454 Sequencing - L3 - alignments	Piano	Piano	RACE	gene model			1		Caenorhabditis elegans		N2	whole organism	larva: L3 larva	2009-09-29	2009-11-16	released	2329	GSM446654	
3' UTR Staged 454 Sequencing - L4 - alignments	Piano	Piano	RACE	gene model			1		Caenorhabditis elegans		N2	whole organism	larva: L4 larva	2009-09-29	2009-11-16	released	2330	GSM446655	
3' UTR Staged 454 Sequencing - embryo - alignments	Piano	Piano	RACE	gene model			1		Caenorhabditis elegans		N2	whole organism	embryo: embryo	2009-09-29	2009-11-16	released	2331	GSM446651	
3' UTR Staged 454 Sequencing - hermaphrodite adult - alignments	Piano	Piano	RACE	gene model			1		Caenorhabditis elegans		N2	whole organism	adult: adult	2009-09-29	2009-11-16	released	2332	GSM446656	
3' UTR Staged 454 Sequencing - male adult - alignments	Piano	Piano	RACE	gene model			1		Caenorhabditis elegans		CB1489	whole organism	adult: adult male	2009-09-29	2009-11-16	released	2333	GSM446657	
3' UTR Staged 454 Sequencing - daf-11 - alignments	Piano	Piano	RACE	gene model			1		Caenorhabditis elegans		DR47	whole organism	larva: dauer larva	2009-09-29	2009-11-16	released	2334	GSM446661	
3' UTR Staged 454 Sequencing - daf-2 - alignments	Piano	Piano	RACE	gene model			1		Caenorhabditis elegans		CB1370	whole organism	larva: dauer larva	2009-09-29	2009-11-16	released	2335	GSM446658	
3' UTR Staged 454 Sequencing - daf-7 - alignments	Piano	Piano	RACE	gene model			1		Caenorhabditis elegans		CB1372	whole organism	larva: dauer larva	2009-09-29	2009-11-16	released	2336	GSM446659	
3' UTR Staged 454 Sequencing - daf-9 - alignments	Piano	Piano	RACE	gene model			1		Caenorhabditis elegans		DR2281	whole organism	larva: dauer larva	2009-09-29	2009-11-16	released	2337	GSM446660	
Histone_H3K36me2_N2_EEMB_(AB9049_H3K36ME2608457_N2_EEMB)	Lieb	Strome	ChIP-chip	chromatin modification		Target=H3K36Me2;AbName=H3K36Me2;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: blastula embryo, gastrulating embryo	2009-09-30	2009-11-27	released	2338	GSE22724, GSM562724	
Histone_H3K9me3_N2_EEMB_2_(AB8898_H3K9ME3339901_N2_EEMB)	Lieb	Strome	ChIP-chip	chromatin modification		Target=H3K9Me3;AbName=H3K9Me3;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: blastula embryo, gastrulating embryo	2009-09-30	2009-11-27	released	2339	GSE22725, GSM562725	
RNAseq - lin-35(n745) mid-L1 25dC 4.0hrs post-L1 sequences & alignments	Waterston	Waterston	RNA-seq	RNA profiling			1		Caenorhabditis elegans		MT10430	whole organism	larva: L1 larva	2009-09-30	2009-11-16	released	2343	SRX004869	
RNAseq - Adult spe-9 23dC 8days post-L4 molt sequences & alignment	Waterston	Waterston	RNA-seq	RNA profiling			1		Caenorhabditis elegans		BA671	whole organism	adult: adult	2009-09-30	2009-11-16	released	2345	SRX008136	
RNAseq - embryo him-8 20dC post-L1 sequences & alignments	Waterston	Waterston	RNA-seq	RNA profiling			1		Caenorhabditis elegans		CB1489	whole organism	embryo: embryo	2009-09-30	2009-11-16	released	2346	SRX011569	
RNAseq - dauer daf-2 25dC 91hrs post-L1 sequences & alignments	Waterston	Waterston	RNA-seq	RNA profiling			1		Caenorhabditis elegans		CB1370	whole organism	larva: dauer larva	2009-09-30	2009-11-16	released	2347	SRX008138	
RNAseq - dauer exit daf-2 25dC 91hrs 15dC 12hrs post-L1 sequences & alignments	Waterston	Waterston	RNA-seq	RNA profiling			1		Caenorhabditis elegans		CB1370	whole organism	larva: post dauer stage	2009-09-30	2009-11-16	released	2349	SRX008140	
RNAseq - mid-L2 25dC 14 hrs post-L1 sequences & alignments	Waterston	Waterston	RNA-seq	RNA profiling		Version=3	1		Caenorhabditis elegans		N2	whole organism	larva: L2 larva	2009-10-01	2009-11-19	released	2351	SRX001872	
RNAseq - mid-L3 25dC 25hrs post-L1 sequences & alignments	Waterston	Waterston	RNA-seq	RNA profiling			1		Caenorhabditis elegans		N2	whole organism	larva: L3 larva	2009-10-01	2009-11-19	released	2352	SRX001875	
RNAseq - mid-L4 25dC 36hrs post-L1 sequences & alignments	Waterston	Waterston	RNA-seq	RNA profiling			1		Caenorhabditis elegans		N2	whole organism	larva: L4 larva	2009-10-01	2009-11-19	released	2353	SRX001874	
RNAseq - Young Adult 25dC 46hrs post-L1 sequences & alignment	Waterston	Waterston	RNA-seq	RNA profiling		Version=2	1		Caenorhabditis elegans		N2	whole organism	larva: newly molted young adult hermaphrodite	2009-10-01	2009-11-16	released	2354	SRX001873	
Negative_control_No_Antibody_N2_EEMB_(NA_N2_EEMB)	Lieb	Strome	ChIP-chip	chromatin		Array=40bp;ArrayPlatform=Nimblegen	4		Caenorhabditis elegans		N2	whole organism	embryo: blastula embryo, gastrulating embryo	2009-10-01	2009-11-27	released	2364	GSE22726, GSM562726, GSM562727	
Negative_control_Antibody_N2_EEMB_(SS00050_IGG_N2_EEMB)	Lieb	Strome	ChIP-chip	chromatin modification		Target=none;AbName=SS00050_IGG;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: blastula embryo, gastrulating embryo	2009-10-02	2009-11-27	released	2382	GSE22727, GSM562728, GSM562729	
RNAseq - dauer entry daf-2 25dC 48hrs post-L1 sequences & alignments	Waterston	Waterston	RNA-seq	RNA profiling			1		Caenorhabditis elegans		CB1370	whole organism	larva: L2d-dauer molt	2009-10-02	2009-11-16	released	2387	SRX008139	
Histone_H3K9me3_N2_L3_(HK00009_H3K9ME32F3_N2_L3)	Lieb	Ahringer	ChIP-chip	chromatin modification		Target=H3K9Me3;AbName=H3K9Me3;Array=40bp;ArrayPlatform=Nimblegen	2		Caenorhabditis elegans		N2	whole organism	larva: L3 larva	2009-10-07	2010-02-17	released	2398	GSE22728, GSM562730, GSM562731	
Histone_H3K36me2_N2_L3_(HK00012_H3K36ME22C3_N2_L3)	Lieb	Ahringer	ChIP-chip	chromatin modification		Target=H3K36Me3;AbName=H3K36Me3;Array=40bp;ArrayPlatform=Nimblegen	2		Caenorhabditis elegans		N2	whole organism	larva: L3 larva	2009-10-07	2010-02-17	released	2399	GSE22729, GSM562732, GSM562733	
Histone_H3K27me3_N2_L3_(HK00013_H3K27ME31E7_N2_L3)	Lieb	Ahringer	ChIP-chip	chromatin modification		Target=H3K27Me3;AbName=H3K27Me3;Array=40bp;ArrayPlatform=Nimblegen	2		Caenorhabditis elegans		N2	whole organism	larva: L3 larva	2009-10-08	2010-02-17	released	2400	GSE22730, GSM562734, GSM562735	
Histone_H3K36me3_N2_L3_(HK00001_H3K36ME313C9_N2_L3)	Lieb	Ahringer	ChIP-chip	chromatin modification		Target=H3K36Me3;AbName=H3K36Me3;Array=40bp;ArrayPlatform=Nimblegen	2		Caenorhabditis elegans		N2	whole organism	larva: L3 larva	2009-10-08	2010-02-17	released	2401	GSE22731, GSM562736, GSM562737	
Histone_H3K4me2_N2_L3_(WA30834809_H3K4ME2_N2_L3)	Lieb	Ahringer	ChIP-chip	chromatin modification		Target=H3K4Me2;AbName=H3K4Me2;Array=40bp;ArrayPlatform=Nimblegen	2		Caenorhabditis elegans		N2	whole organism	larva: L3 larva	2009-10-08	2010-02-17	released	2402	GSE22732, GSM562738, GSM562739	
Histone_H3K9me2_N2_L3_(HK00008_H3K9ME26D11_N2_L3)	Lieb	Ahringer	ChIP-chip	chromatin modification		Target=H3K9Me2;AbName=H3K9Me2;Array=40bp;ArrayPlatform=Nimblegen	2		Caenorhabditis elegans		N2	whole organism	larva: L3 larva	2009-10-11	2010-02-17	released	2406	GSE22733, GSM562740, GSM562741	
Histone_H3_N2_L3_2_(AR0144_H3144_N2_L3)	Lieb	Ahringer	ChIP-chip	chromatin modification		Target=H3;AbName=H3;Array=40bp;ArrayPlatform=Nimblegen	2		Caenorhabditis elegans		N2	whole organism	larva: L3 larva	2009-10-11	2010-02-17	released	2407	GSE22734, GSM562742, GSM562743	
Histone_H3_N2_L3_1_(AR0144_H3144_N2_L3_LM)	Lieb	Ahringer	ChIP-chip	chromatin modification		Target=H3;AbName=H3;Array=40bp;ArrayPlatform=Nimblegen	3		Caenorhabditis elegans		N2	whole organism	larva: L3 larva	2009-10-11	2010-02-17	released	2408	GSE22735, GSM562744, GSM562745, GSM562746	
Histone_H3_N2_L3_(AB1791_H3_N2_L3_new)	Lieb	Ahringer	ChIP-chip	chromatin modification		Target=H3;AbName=H3;Array=40bp;ArrayPlatform=Nimblegen	2		Caenorhabditis elegans		N2	whole organism	larva: L3 larva	2009-10-12	2010-02-17	released	2409	GSE22736, GSM562747, GSM562748	
Histone_H3K79me1_N2_EEMB_(AB2886_H3K79ME1361912_N2_EEMB)	Lieb	Lieb	ChIP-chip	chromatin modification		Target=H3K4Me3;AbName=H3K4Me3;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: blastula embryo, gastrulating embryo	2009-10-12	2009-11-27	released	2410	GSE22737, GSM562749, GSM562750	
Snyder_DPY27_GFP_emb	Snyder	Snyder	ChIP-seq	chromatin		Target=dpy-27;AbName=eGFP	4		Caenorhabditis elegans		OP32	whole organism	embryo: embryo	2009-10-13	2009-11-28	released	2416	GSM388727	Snyder_DPY27_GFP_emb_combined_peaks.GFF3
Snyder_EOR-1_GFP_L3	Snyder	Snyder	ChIP-seq	chromatin		Target=eor-1;AbName=eGFP	3		Caenorhabditis elegans		OP81	whole organism	larva: L3 larva	2009-10-13	2009-11-28	replaced	2417 deprecated by 3155	GSM435301	Snyder_EOR-1_GFP_L3_combined_peaks.GFF3
Snyder_HLH-8_GFP_L3	Snyder	Snyder	ChIP-seq	chromatin		Target=hlh-8;AbName=eGFP	3		Caenorhabditis elegans		OP74	whole organism	larva: L3 larva	2009-10-13	2009-11-28	replaced	2418 deprecated by 0	GSM435317	Snyder_HLH-8_GFP_L3_combined_peaks.GFF3
Snyder_LIN-11_GFP_L2	Snyder	Snyder	ChIP-seq	chromatin		Target=lin-11;AbName=eGFP	3		Caenorhabditis elegans		OP62	whole organism	larva: L2 larva	2009-10-13	2009-11-28	released	2429	GSE25782, GSM677603, GSM677604, GSM677605, GSM677606	Snyder_LIN-11_GFP_L2_combined_peaks.GFF3
Snyder_UNC-130_GFP_L1	Snyder	Snyder	ChIP-seq	chromatin		Target=unc-130;AbName=eGFP	3		Caenorhabditis elegans		OP77	whole organism	larva: L1 larva	2009-10-13	2009-11-28	released	2430	GSE25783, GSM677607, GSM677608, GSM677609, GSM677610	Snyder_UNC-130_GFP_L1_combined_peaks.GFF3
Snyder_HLH-1_GFP_emb	Snyder	Snyder	ChIP-seq	chromatin		Target=hlh-1;AbName=eGFP	3		Caenorhabditis elegans		OP64	whole organism	embryo: embryo	2009-10-13	2009-11-28	released	2431	GSE25784, GSM677611, GSM677612, GSM677613, GSM677614	Snyder_HLH-1_GFP_emb_combined_peaks.GFF3
Snyder_LIN-39_GFP_L3	Snyder	Snyder	ChIP-seq	chromatin		Target=lin-39;AbName=eGFP	3		Caenorhabditis elegans		OP18	whole organism	larva: L3 larva	2009-10-13	2009-11-28	released	2432	GSE25785, GSM677615, GSM677616, GSM677617, GSM677618	Snyder_LIN-39-GFP_L3_combined_peaks.GFF3
Snyder_NHR-6_GFP_L2	Snyder	Snyder	ChIP-seq	chromatin		Target=nhr-6;AbName=eGFP	3		Caenorhabditis elegans		OP90	whole organism	larva: L2 larva	2009-10-13	2009-11-28	replaced	2433 deprecated by 0	GSE25786, GSM677619, GSM677620, GSM677621, GSM677622	Snyder_NHR-6_GFP_L2_combined_peaks.GFF3
Snyder_ALR-1_GFP_L2	Snyder	Snyder	ChIP-seq	chromatin		Target=alr-1;AbName=eGFP	3		Caenorhabditis elegans		OP200	whole organism	larva: L2 larva	2009-10-13	2009-11-27	replaced	2434 deprecated by 3156		Snyder_ALR-1_GFP_L2_combined_peaks.GFF3
Snyder_N2_POLII_eemb	Snyder	Snyder	ChIP-seq	chromatin		Target=RNA Polymerase II;AbName=RNA polymerase II	3		Caenorhabditis elegans		N2	whole organism	embryo: blastula embryo, gastrulating embryo	2009-10-13	2009-11-28	released	2435	GSE25788, GSM677623, GSM677624, GSM677625, GSM677626	Snyder_N2_POLII_eemb_combined_peaks.GFF3
Snyder_N2_POLII_lemb	Snyder	Snyder	ChIP-seq	chromatin		Target=RNA Polymerase II;AbName=RNA polymerase II	3		Caenorhabditis elegans		N2	whole organism	embryo: elongating embryo, enclosing embryo, fully-elongated embryo, late cleavage stage embryo	2009-10-13	2009-11-28	released	2436	GSE25789, GSM677627, GSM677628, GSM677629, GSM677630	Snyder_N2_POLII_lemb_combined_peaks.GFF3
Snyder_N2_POLII_L1	Snyder	Snyder	ChIP-seq	chromatin		Target=RNA Polymerase II;AbName=RNA polymerase II	3		Caenorhabditis elegans		N2	whole organism	larva: L1 larva	2009-10-13	2009-11-28	released	2437	GSE25790, GSM677631, GSM677632, GSM677633, GSM677634	Snyder_N2_POLII_L1_combined_peaks.GFF3
Snyder_N2_POLII_L2	Snyder	Snyder	ChIP-seq	chromatin		Target=RNA Polymerase II;AbName=RNA polymerase II	3		Caenorhabditis elegans		N2	whole organism	larva: L2 larva	2009-10-13	2009-11-28	released	2438	GSE25791, GSM677635, GSM677636, GSM677637, GSM677638	Snyder_N2_POLII_L2_combined_peaks.GFF3
