Submission ID	Project	Lab	Organism	Status	Data Type	Assay	Tissue	Strain	Cell Line	Stage/Treatment	Antibody	Compound	Platform	RNAi Target	Date Data Submitted	Release Date	GEO/SRA IDs	Name	GFF Files
399	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		first instar larval stage	H3K27Ac, No Antibody Control		Agilent		2009-03-09	2009-03-09		L1_H3K27ac	L1_H3K27Ac_merged_dcc.gff
401	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 10, embryonic stage 11, embryonic stage 12, embryonic stage 9	H3K9Ac, No Antibody Control		Agilent		2009-03-09	2009-10-12		E4-8_H3K9ac	E4-8_H3K9Ac_merged_dcc.gff
402	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 10, embryonic stage 11, embryonic stage 12, embryonic stage 9	fly_genes:His3:CG33806, fly_genes:His3:CG33806		Agilent		2009-03-09	2009-07-29	GSM386088	E-4-8h-H3K4Me3	E4-8-K4Me3_agilent_dmel3_merged_dcc.gff
403	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 10, embryonic stage 11, embryonic stage 12, embryonic stage 9	H3K4me1, No Antibody Control		Agilent		2009-03-09	2009-10-12		E-4-8h-H3K4Me1	E4-8-K4Me1_agilent_dmel3_merged_dcc.gff
404	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 10, embryonic stage 11, embryonic stage 12, embryonic stage 9	H3K27Ac, No Antibody Control		Agilent		2009-03-09	2009-03-09		E-4-8h-H3K27AC	E4-8-K27Ac_agilent_dmel3_merged_dcc.gff
406	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 17	H3K9Ac, No Antibody Control		Agilent		2009-03-09	2009-10-12		E20-24_H3K9ac	E20-24_H3K9Ac_merged_dcc.gff
407	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 17	fly_genes:His3:CG33806, fly_genes:His3:CG33806		Agilent		2009-03-09	2009-07-29	GSM386106	E-20-24h-H3K4Me3	E20-24_K4Me3_agilent_dmel3_merged_dcc.gff
408	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 17	H3K4me1, No Antibody Control		Agilent		2009-03-09	2009-07-29	GSM386069	E-20-24h-H3K4Me1	E20-24_K4Me1_agilent_dmel3_merged_dcc.gff
409	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 17	H3K27Ac, No Antibody Control		Agilent		2009-03-09	2009-10-12		E20-24_H3K27ac	E20-24_H3K27Ac_merged_dcc.gff
410	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 17	H3K9me3, No Antibody Control		Agilent		2009-03-09	2009-10-12		E16-20_H3K9me3	E16-20_K9Me3.dcc.gff
411	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 17	H3K9Ac, No Antibody Control		Agilent		2009-03-09	2009-03-09		E16-20_H3K9Ac ChIP-chip	E16-20_H3K9Ac_merged_dcc.gff
412	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 17	fly_genes:His3:CG33806, fly_genes:His3:CG33806		Agilent		2009-03-09	2009-07-29	GSM386097	E-16-20h-H3K4Me3	E16-20_K4Me3_agilent_dmel3_merged_dcc.gff
413	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 17	H3K4me1, No Antibody Control		Agilent		2009-03-09	2009-03-09	GSM386060	E-16-20h-H3K4Me1	E16-20_K4Me_agilent_dmel3_merged_dcc.gff
414	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 17	H3K27Ac, No Antibody Control		Agilent		2009-03-09	2009-10-12		E16-20_H3K27ac	E16-20_H3K27Ac_merged_dcc.gff
415	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 15, embryonic stage 16	H3K9me3, No Antibody Control		Agilent		2009-03-09	2009-10-12		E12-16_H3K9me3	E12-16_K9Me3.dcc.gff
416	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 15, embryonic stage 16	H3K9Ac, No Antibody Control		Agilent		2009-03-09	2009-07-29	GSM386138	E-12-16h-H3K9AC	E12-16-K9Ac_agilent_dmel3_merged_dcc.gff
417	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 15, embryonic stage 16	fly_genes:His3:CG33806, fly_genes:His3:CG33806		Agilent		2009-03-09	2009-07-29	GSM385397	E-12-16h-H3K4Me3	E12-16_K4Me3.dcc.gff
418	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 15, embryonic stage 16	H3K4me1, No Antibody Control		Agilent		2009-03-09	2009-07-29	GSM386051	E-12-16h-H3K4Me1	E12-16_K4Me1_agilent_dmel3_merged_dcc.gff
419	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 15, embryonic stage 16	H3K27Ac, No Antibody Control		Agilent		2009-03-09	2009-10-12		E12-16_H3K27ac	E12-16_H3K27Ac_merged_dcc.gff
420	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 1, embryonic stage 2, embryonic stage 3, embryonic stage 4, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9	H3K9me3, No Antibody Control		Agilent		2009-03-09	2009-10-12		E0-4_H3K9me3	E0-4_K9Me3.dcc.gff
421	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 1, embryonic stage 2, embryonic stage 3, embryonic stage 4, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9	H3K9Ac, No Antibody Control		Agilent		2009-03-09	2009-10-12		E0-4_H3K9ac	E0-4_H3K9Ac_merged_dcc.gff
422	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 1, embryonic stage 2, embryonic stage 3, embryonic stage 4, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9	H3K4me3, No Antibody Control		Agilent		2009-03-09	2009-10-12		E0-4_H3K4me3	E0-4_H3K4Me3_merged_dcc.gff
423	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 1, embryonic stage 2, embryonic stage 3, embryonic stage 4, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9	H3K4me1, No Antibody Control		Agilent		2009-03-09	2009-10-12		E-0-4h-H3K4Me1	E0-4_K4Me1_agilent_dmel3_merged_dcc.gff
424	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 1, embryonic stage 2, embryonic stage 3, embryonic stage 4, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9	H3K27Ac, No Antibody Control		Agilent		2009-03-09	2009-10-15		E-0-4h-H3K27Ac ChIP-chip	E0-4_H3K27Ac_merged_dcc.gff
425	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		adult stage	H3K9me3, No Antibody Control		Agilent		2009-03-09	2009-10-12		AdMale_H3K9me3	AdultMale_K9Me3.dcc.gff
426	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		adult stage	H3K9Ac, No Antibody Control		Agilent		2009-03-09	2009-10-12		AdMale_H3K9ac	AdultMale_H3K9Ac_merged_dcc.gff
427	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		adult stage	fly_genes:His3:CG33806, fly_genes:His3:CG33806		Agilent		2009-03-09	2009-07-29	GSM386996	AdultMale H3K4Me3 ChIP-chip	male-h3k4me3_agilent_dmel3_merged_dcc.gff
428	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		adult stage	H3K4me1, No Antibody Control		Agilent		2009-03-09	2009-03-09		AdultMale-H3K4Me1	AdultMale_K4Me1_agilent_dmel3_merged_dcc.gff
429	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		adult stage	H3K9me3, No Antibody Control		Agilent		2009-03-09	2009-03-09		AdFem_H3K9me3	AdultFemale_K9Me3.dcc.gff
430	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		adult stage	H3K9Ac, No Antibody Control		Agilent		2009-03-09	2009-03-09		AdultFemale-H3K9AC	AdultFemale_K9Ac_agilent_dmel3_merged_dcc.gff
431	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		adult stage	H3K4me3, No Antibody Control		Agilent		2009-03-09	2009-10-12		AdFem_H3K4me3	AdultFemale_K4Me3_merged_dcc.gff
432	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		adult stage	H3K4me1, No Antibody Control		Agilent		2009-03-09	2009-10-12		AdFem_H3K4me1	AdultFemale_H3K4Me1_merged_dcc.gff
513	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	whole organism	Oregon-R-modENCODE		early extended germ band stage, embryonic stage, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9			Affymetrix		2009-04-14	2009-04-30	GSE16326, GSM409637, GSM409638, GSM409639	Dm_OregonR_embryo_2-4h_totalRNA_p200_127-128-129_38bp	Dro2_AS_Dm_emb_4h_OR_656.gff
514	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	whole organism	Oregon-R-modENCODE		egg stage, embryonic stage, embryonic stage 16, fertilized egg stage, late embryonic stage, unfertilized egg stage			Affymetrix		2009-04-15	2009-04-21	GSE16327, GSM409640, GSM409641, GSM409642	Dm_OregonR_embryo_14-16h_totalRNA_p200_130-131-132_38bp	Dro2_AS_Dm_emb_16h_OR_657.gff
526	Lai	Hannon	Drosophila melanogaster	released	alignments	RNA-seq	ovary	Dcr-2[L811fsX]		adult stage			N/A		2008-11-08	2010-02-03	GSM280083	Dm Dcr-2[L811fsX] Ovary smallRNA RNA-Seq	
538	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		larval stage, third instar larval stage			Affymetrix		2009-04-29	2009-05-28		Dro2_AS_Dm_L3-12hr_larvae	Dro2_AS_Dm_L3-12hr_larvae_875.gff
539	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		larval stage			Affymetrix		2009-04-29	2009-05-28		Dro2_AS_L3-larvae-clear	Dro2_AS_L3-larvae-clear_802.gff
540	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		larval stage, third instar larval stage			Affymetrix		2009-04-29	2009-05-28		Dro2_AS_L3-larvae-light-blue	Dro2_AS_L3-larvae-light-blue_790.gff
541	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		pharate adult stage, pharate adult stage P8			Affymetrix		2009-04-29	2009-05-18		Dro2_AS_Dm_WPP+2days	Dro2_AS_Dm_WPP+2days_804.gff
542	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		pharate adult stage, pharate adult stage P9			Affymetrix		2009-04-29	2009-04-30	GSE16328, GSM409643, GSM409644, GSM409645	Dm_y[1]cn[1] bw[1] sp[1]_pupa_WhitePrePupaep3day_TotalRNA_p200_350-352-354_38bp	Dro2_AS_Dm_WPP+3days_878.gff
543	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		pharate adult stage, pharate adult stage P15, pharate adult stage P15(i)			Affymetrix		2009-04-29	2009-04-30	GSE16329, GSM409646, GSM409647, GSM409648	Dro2_AS_Dm_WPP+4days	Dro2_AS_Dm_WPP+4days_879.gff
544	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		prepupal stage, prepupal stage P4, prepupal stage P4(i), prepupal stage P4(ii)			Affymetrix		2009-04-29	2009-04-30		Dm_y[1]cn[1] bw[1] sp[1]_prepupa_WhitePrePupap12h_TotalRNA_p200_332-334-336_38bp	Dro2_AS_Dm_WPP+12hr_876.gff
545	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		pupal stage, pupal stage P6			Affymetrix		2009-04-29	2009-04-30	GSE16330, GSM409649, GSM409650, GSM409651	Dro2_AS_Dm_WPP+24hr	Dro2_AS_Dm_WPP+24hr_877.gff
555	Celniker	Cherbas	Drosophila melanogaster	released	N/A (metadata only)	RNA sample creation	embryo-derived cell-line, embryonic/larval hemocyte, dorsal mesothoracic disc, ventral prothoracic disc, CNS-derived cell-line, imaginal disc-derived cell-line, eye-antenna disc-derived cell-line, antenna disc-derived cell-line	N/A	Kc167, GM2, S2-DRSC, S2R+, S1, 1182-4H, mbn2, ML-DmD21, CME W1 Cl.8+, ML-DmD9, CME L1, G2, S3, ML-DmD23-c4, ML-DmBG1-c1, ML-DmBG3-c2, ML-DmD16-c3, ML-DmD4-c1, ML-DmD32, ML-DmD11, ML-DmD20-c2, ML-DmD20-c5, ML-DmD17-c3, Sg4, ML-DmD8, CME W2, ML-DmBG2-c2	late embryonic stage, third instar larval stage	N/A		N/A		2009-05-05	2009-05-27		Cell line Total RNA samples	
559	Celniker	Cherbas	Drosophila melanogaster	released	N/A (metadata only)	RNA sample creation	embryo-derived cell-line, CNS-derived cell-line, dorsal mesothoracic disc	N/A	Kc167, S2-DRSC, ML-DmBG3-c2, CME W1 Cl.8+	late embryonic stage, third instar larval stage	N/A		N/A		2009-05-05	2009-05-28		Cell line Nuclear RNA samples	
560	Celniker	Cherbas	Drosophila melanogaster	released	N/A (metadata only)	RNA sample creation	embryo-derived cell-line, CNS-derived cell-line, dorsal mesothoracic disc	N/A	G2, Kc167, S2-DRSC, ML-DmBG3-c2, CME W1 Cl.8+	late embryonic stage, third instar larval stage	N/A		N/A		2009-05-05	2009-05-27		Cell line polyA RNA samples	
574	Celniker	Cherbas	Drosophila melanogaster	released	N/A (metadata only)	RNA sample creation	whole organism	Oregon-R-modENCODE, y; cn bw sp		adult stage, cleavage stage, dorsal closure stage, early extended germ band stage, egg stage, embryonic stage, embryonic stage 1, embryonic stage 10, embryonic stage 11, embryonic stage 12, embryonic stage 13, embryonic stage 14, embryonic stage 15, embryonic stage 16, embryonic stage 17, embryonic stage 2, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9, extended germ band stage, fertilized egg stage, first instar larval stage, gastrula stage, larval stage, late embryonic stage, late extended germ band stage, pharate adult stage, pharate adult stage P15, pharate adult stage P15(i), pharate adult stage P8, pharate adult stage P9, pre-blastoderm stage, prepupal stage, prepupal stage P1, prepupal stage P4, prepupal stage P4(i), prepupal stage P4(ii), pupal stage, pupal stage P6, second instar larval stage, third instar larval stage, unfertilized egg stage	N/A		N/A		2009-05-06	2009-05-28		Dev Timecourse TotalRNA isolation	
577	Celniker	Cherbas	Drosophila melanogaster	released	N/A (metadata only)	RNA sample creation	early embryonic cell, blastoderm cell, gastrula cell	y; cn bw sp		cleavage stage, dorsal closure stage, early extended germ band stage, egg stage, embryonic stage, embryonic stage 1, embryonic stage 10, embryonic stage 11, embryonic stage 12, embryonic stage 13, embryonic stage 14, embryonic stage 15, embryonic stage 16, embryonic stage 17, embryonic stage 2, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9, extended germ band stage, fertilized egg stage, gastrula stage, late embryonic stage, late extended germ band stage, pre-blastoderm stage, unfertilized egg stage	N/A		N/A		2009-05-06	2009-05-27		Dev Timecourse polyA RNA samples	
581	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		adult stage	H3K9Ac, No Antibody Control		Agilent		2009-05-07	2009-05-07		AdFem_H3K9ac	AdultFemale_H3K9Ac_merged_dcc.gff
597	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 1, embryonic stage 10, embryonic stage 11, embryonic stage 12, embryonic stage 13, embryonic stage 14, embryonic stage 15, embryonic stage 2, embryonic stage 3, embryonic stage 4, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9	fly_genes:gro, fly_genes:gro		Affymetrix		2009-05-31	2009-10-16		E0-12 GROAviva ChIP-chip	data/GROAviva_analysis/MAT_GROAviva.bed_dcc.gff
601	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		pupal stage	fly_genes:Snr1, fly_genes:Snr1		Affymetrix		2009-06-09	2009-10-15		Pupae-snr1 ChIP-chip	data/snr1_Pupae_analysis/MAT_snr1_Pupae.bed_dcc.gff
602	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		pupal stage	fly_genes:brm, fly_genes:brm		Affymetrix		2009-06-09	2009-10-16		pupae-brm ChIP-chip	data/brm_pupae_analysis/MAT_brm_pupae.bed_dcc.gff
603	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 10, embryonic stage 11, embryonic stage 12, embryonic stage 8, embryonic stage 9, extended germ band stage	fly_genes:Ubx, fly_genes:Ubx		Affymetrix		2009-06-09	2009-10-06		Embryo 3-8h UBX7701 ChIP-chip	data/UBX7701_E3-8h_analysis/MAT_UBX7701_E3-8h.bed_dcc.gff
604	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 1, embryonic stage 10, embryonic stage 11, embryonic stage 12, embryonic stage 13, embryonic stage 14, embryonic stage 15, embryonic stage 2, embryonic stage 3, embryonic stage 4, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9	fly_genes:zfh1, fly_genes:zfh1		Affymetrix		2009-06-09	2009-10-08		Embryo 0-12h ZFH1 ChIP-chip	data/ZFH1_E-0-12h_analysis/MAT_ZFH1_E-0-12h.bed_dcc.gff
605	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	embryo	y; cn bw sp		embryonic stage	fly_genes:inv, fly_genes:inv		Affymetrix		2009-06-09	2009-10-06		E-0-12h-INV7657	data/INV7657_E-0-12h_analysis/MAT_INV7657_E-0-12h.bed_dcc.gff
606	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	embryo	y; cn bw sp		embryonic stage	fly_genes:Dll, fly_genes:Dll		Affymetrix		2009-06-09	2009-10-06		E-0-12h-dll	data/dll_E-0-12h_analysis/MAT_dll_E-0-12h.bed_dcc.gff
607	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	embryo	y; cn bw sp		embryonic stage	fly_genes:CtBP, fly_genes:CtBP		Affymetrix		2009-06-09	2009-10-06		E-0-12h-dCtBP7667	data/dCtBP7667_E-0-12h_analysis/MAT_dCtBP7667_E-0-12h.bed_dcc.gff
608	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 1, embryonic stage 10, embryonic stage 11, embryonic stage 12, embryonic stage 13, embryonic stage 14, embryonic stage 15, embryonic stage 2, embryonic stage 3, embryonic stage 4, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9	fly_genes:chinmo, fly_genes:chinmo		Affymetrix		2009-06-09	2009-06-09		Embryo 0-12h chinmo ChIP-chip	data/chinmo_E-0-12h_analysis/chinmo_E-0-12h_dcc.gff
609	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	embryo	y; cn bw sp		embryonic stage	fly_genes:sbb, fly_genes:sbb		Affymetrix		2009-06-09	2009-10-06		E-0-12h-bks	data/bks_E-0-12h_analysis/MAT_bks_E-0-12h.bed_dcc.gff
610	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 12, embryonic stage 13, embryonic stage 14, embryonic stage 15, embryonic stage 16, embryonic stage 17	fly_genes:gsb-n, fly_genes:gsb-n		Affymetrix		2009-06-09	2009-10-06		Embryo 7-24h gsbnpurif ChIP-chip	data/gsbnpurif_E7-24h_analysis/MAT_gsbnpurif_E7-24h.bed_dcc.gff
611	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 12, embryonic stage 13, embryonic stage 14, embryonic stage 15, embryonic stage 16, embryonic stage 17	fly_genes:en, fly_genes:en		Affymetrix		2009-06-09	2009-10-06		Embryo 7-24h end300 ChIP-chip	data/end300_E7-24h_analysis/MAT_end300_E7-24h.bed_dcc.gff
612	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 10, embryonic stage 11, embryonic stage 12, embryonic stage 8, embryonic stage 9, extended germ band stage	fly_genes:Ubx, fly_genes:Ubx		Affymetrix		2009-06-09	2009-10-06		Embryo 3-8h UBX2 ChIP-chip	data/UBX2_E3-8h_analysis/MAT_UBX2_E3-8h.bed_dcc.gff
613	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 10, embryonic stage 11, embryonic stage 12, embryonic stage 8, embryonic stage 9, extended germ band stage	fly_genes:Ubx, fly_genes:Ubx		Affymetrix		2009-06-09	2009-10-06		Embryo 3-8h UBX1 ChIP-chip	data/UBX1_E3-8h_analysis/MAT_UBX1_E3-8h.bed_dcc.gff
614	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	embryo	y; cn bw sp		embryonic stage	fly_genes:Ubx, fly_genes:Ubx		Affymetrix		2009-06-09	2009-10-06		E0-12h-UBX7701	data/UBX7701_E0-12h_analysis/MAT_UBX7701_E0-12h.bed_dcc.gff
615	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	embryo	y; cn bw sp		embryonic stage	fly_genes:ttk, fly_genes:ttk		Affymetrix		2009-06-09	2009-10-06		E0-12h-TTK	data/TTK_E0-12h_analysis/MAT_TTK_E0-12h.bed_dcc.gff
616	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	embryo	y; cn bw sp		embryonic stage	fly_genes:Stat92E, fly_genes:Stat92E		Affymetrix		2009-06-09	2009-10-06		E0-12h-Stat92E	data/Stat92E_E0-12h_analysis/MAT_Stat92E_E0-12h.bed_dcc.gff
617	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	embryo	y; cn bw sp		embryonic stage	fly_genes:run, fly_genes:run		Affymetrix		2009-06-09	2009-10-06		E0-12h-RUN7659	data/RUN7659_E0-12h_analysis/MAT_RUN7659_E0-12h.bed_dcc.gff
618	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	embryo	y; cn bw sp		embryonic stage	fly_genes:kn, fly_genes:kn		Affymetrix		2009-06-09	2009-10-06		E0-12h-KN	data/KN_E0-12h_analysis/MAT_KN_E0-12h.bed_dcc.gff
619	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	whole organism	INV-GFP		embryonic stage 1, embryonic stage 10, embryonic stage 11, embryonic stage 12, embryonic stage 13, embryonic stage 14, embryonic stage 15, embryonic stage 2, embryonic stage 3, embryonic stage 4, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9	inv, inv		Affymetrix		2009-06-09	2009-10-06		Embryo 0-12h INV-GFP ChIP-chip	data/INVGFP_E0-12h_analysis/MAT_INVGFP_E0-12h.bed_dcc.gff
620	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	embryo	y; cn bw sp		embryonic stage	fly_genes:His3:CG33806, fly_genes:His3:CG33806		Affymetrix		2009-06-09	2009-10-06		E0-12h-H3K36me3	data/H3K36me3_E0-12h_analysis/MAT_H3K36me3_E0-12h.bed_dcc.gff
621	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	embryo	y; cn bw sp		embryonic stage	fly_genes:His3:CG33806, fly_genes:His3:CG33806		Affymetrix		2009-06-09	2009-10-06		E0-12h-H3K9me3	data/H3K9me3_E0-12h_analysis/MAT_H3K9me3_E0-12h.bed_dcc.gff
622	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	embryo	y; cn bw sp		embryonic stage	fly_genes:His3:CG33806, fly_genes:His3:CG33806		Affymetrix		2009-06-09	2009-10-06		E0-12h-H3K4me3	data/H3K4me3_E0-12h_analysis/MAT_H3K4me3_E0-12h.bed_dcc.gff
623	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	embryo	y; cn bw sp		embryonic stage	fly_genes:gro, fly_genes:gro		Affymetrix		2009-06-09	2009-10-06		E0-12h-Gro3	data/Gro3_E0-12h_analysis/MAT_Gro3_E0-12h.bed_dcc.gff
624	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	embryo	y; cn bw sp		embryonic stage	fly_genes:ftz-f1, fly_genes:ftz-f1		Affymetrix		2009-06-09	2009-10-06		E0-12h-FTZ-F1	data/FTZ-F1_E0-12h_analysis/MAT_FTZ-F1_E0-12h.bed_dcc.gff
625	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	embryo	y; cn bw sp		embryonic stage	fly_genes:en, fly_genes:en		Affymetrix		2009-06-09	2009-06-09		E0-12h-ENserum	data/ENserum_E0-12h_analysis/MAT_ENserum_E0-12h.bed_dcc.gff
626	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	embryo	y; cn bw sp		embryonic stage	fly_genes:D, fly_genes:D		Affymetrix		2009-06-09	2009-10-06		E0-12h-D	data/D_E0-12h_analysis/MAT_D_E0-12h.bed_dcc.gff
627	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	embryo	y; cn bw sp		embryonic stage	fly_genes:cnc, fly_genes:cnc		Affymetrix		2009-06-09	2009-10-06		E0-12h-CNC	data/CNC_E0-12h_analysis/MAT_CNC_E0-12h.bed_dcc.gff
628	White	White	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	embryo	y; cn bw sp		embryonic stage	fly_genes:bab1, fly_genes:bab1		Affymetrix		2009-06-09	2009-10-06		E0-12h-bab1	data/bab1_E0-12h_analysis/MAT_bab1_E0-12h.bed_dcc.gff
633	Celniker	Graveley	Drosophila melanogaster	released	alignments	Alignment	embryo-derived cell-line	N/A	Kc167	late embryonic stage			N/A		2009-06-15	2009-07-09	GSM390059	Dm Kc167 polyA 002-004 PE RNA-Seq Bowtie	
