ID	Project	Lab	Organism	Data Type	Experiment Type	Tissue	Strain	Cell Line	Stage	Antibody	Creation Date	Release Date	GEO IDs	Name
302	Karpen	Kuroda	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	Kc167	late embryonic stage	H3K36me3	2009-09-18	2009-10-12		H3K36me3.Kc
303	Karpen	Kuroda	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	S2-DRSC	late embryonic stage	H3K36me3	2009-09-18	2009-10-12		H3K36me3.S2
304	Karpen	Pirrotta	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	S2-DRSC	late embryonic stage	H3K4me1	2009-09-18	2009-10-12		H3K4me1.S2
305	Karpen	Pirrotta	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	S2-DRSC	late embryonic stage	H3K4me3	2009-09-18	2009-10-12		H3K4Me3(LP).S2
306	Karpen	Pirrotta	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	CNS-derived cell-line	N/A	ML-DmBG3-c2	third instar larval stage	H3K79me2	2009-09-18	2009-10-12		H3K79Me2.BG3
307	Karpen	Pirrotta	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	S2-DRSC	late embryonic stage	H3K79me2	2009-09-18	2009-10-12		H3K79Me2.S2
309	Karpen	Elgin	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	S2-DRSC	late embryonic stage	H3K9ac	2009-09-18	2009-10-12		H3K9ac.S2
310	Karpen	Elgin	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	CNS-derived cell-line	N/A	ML-DmBG3-c2	third instar larval stage	H3K9me2	2009-09-18	2009-10-12		H3K9me2-Ab2 (new lot).BG3
311	Karpen	Elgin	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	S2-DRSC	late embryonic stage	H3K9me2	2009-09-18	2009-10-15		H3K9me2 antibody2.S2
312	Karpen	Elgin	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	CNS-derived cell-line	N/A	ML-DmBG3-c2	third instar larval stage	H3K9me3	2009-09-18	2009-10-12		H3K9me3 (new lot).BG3
313	Karpen	Elgin	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	S2-DRSC	late embryonic stage	H3K9me3	2009-09-18	2009-10-12		H3K9me3.S2
316	Karpen	Kuroda	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	CNS-derived cell-line	N/A	ML-DmBG3-c2	third instar larval stage	H4K16ac	2009-09-18	2009-10-12		H4K16ac(L).BG3
317	Karpen	Kuroda	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	dorsal mesothoracic disc	N/A	CME W1 Cl.8+	third instar larval stage	H4K16ac	2009-09-18	2009-10-12		H4K16ac(L).Clone_8
318	Karpen	Kuroda	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	Kc167	late embryonic stage	H4K16ac	2009-09-18	2009-10-12		H4K16ac(L).Kc
319	Karpen	Kuroda	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	S2-DRSC	late embryonic stage	H4K16ac	2009-09-18	2009-10-12		H4K16ac(L).S2
320	Karpen	Kuroda	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	S2-DRSC	late embryonic stage	H4K16ac	2009-09-18	2009-10-12		H4K16ac(M).S2
321	Karpen	Kuroda	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	S2-DRSC	late embryonic stage	H4K5ac	2009-09-18	2009-10-12		H4K5ac.S2
322	Karpen	Kuroda	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	S2-DRSC	late embryonic stage	H4K8ac	2009-09-18	2009-10-12		H4K8ac.S2
324	Karpen	Pirrotta	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	CNS-derived cell-line	N/A	ML-DmBG3-c2	third instar larval stage	MOD(MDG4)67.2	2009-09-18	2009-10-12		mod2.2-VC.BG3
325	Karpen	Pirrotta	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	CNS-derived cell-line	N/A	ML-DmBG3-c2	third instar larval stage	Pc	2009-09-18	2009-10-12		Pc.BG3
326	Karpen	Pirrotta	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	S2-DRSC	late embryonic stage	Pc	2009-09-18	2009-10-12		Pc.S2
327	Karpen	Kuroda	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	dorsal mesothoracic disc	N/A	CME W1 Cl.8+	third instar larval stage	PolII	2009-09-18	2009-10-12		RNA pol II (ALG).Clone_8
328	Karpen	Kuroda	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	Kc167	late embryonic stage	PolII	2009-09-18	2009-10-12		RNA pol II (ALG).Kc
329	Karpen	Kuroda	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	S2-DRSC	late embryonic stage	PolII	2009-09-18	2009-10-12		RNA pol II (ALG).S2
330	Karpen	Pirrotta	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	S2-DRSC	late embryonic stage	SU(HW)	2009-09-18	2009-10-12		SU(HW)-HB.S2
331	Karpen	Pirrotta	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	S2-DRSC	late embryonic stage	SU(HW)	2009-09-18	2009-10-12		Su(Hw)-VC.S2
332	Karpen	Pirrotta	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	S2-DRSC	late embryonic stage	Trx	2009-09-18	2009-10-12		Trx-C.S2
337	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	CNS-derived cell-line	N/A	ML-DmBG2-c2	third instar larval stage		2009-09-22	2009-09-24	GSE16325, GSM409634, GSM409635, GSM409636	Dm_ML-DmBG2-c2_TotalRNA_p200_470-472-474_38bp
339	Celniker	Brent	Drosophila melanogaster	splice sites, transcription/coding junctions, alignments, trace reads, gene models, EST alignments	RTPCR	ventral prothoracic disc	N/A	CME L1	third instar larval stage		2009-02-27	2009-10-08		DMG3 RTPCR
340	Celniker	Brent	Drosophila melanogaster	splice sites, transcription/coding junctions, alignments, trace reads, gene models, EST alignments	RTPCR	ventral prothoracic disc	N/A	CME L1	third instar larval stage		2009-02-27	2009-10-08		DMG4 RTPCR
342	Celniker	Gingeras	Drosophila melanogaster	alignments	RNA-seq	embryo-derived cell-line	N/A	Kc167	late embryonic stage		2009-09-17	2009-09-29	GSM451119	Dm Kc167 Poly-Ap p200 467 C-tailed RNA-Seq Nexalign
343	Celniker	Gingeras	Drosophila melanogaster	alignments	RNA-seq	whole organism	y; cn bw sp		egg stage, embryonic stage, embryonic stage 17, fertilized egg stage, late embryonic stage, unfertilized egg stage		2009-09-21	2009-09-23	GSM439966	Dm embryo 16-18h C-tailed RNA-Seq NexAlign
346	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		adult stage	H3K27me3, No Antibody Control	2009-10-13	2009-10-14		Adult_Female_H3K27Me3
358	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		third instar larval stage	H3K9me3, No Antibody Control	2009-10-13	2009-10-15		L3_H3K9me3
359	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		third instar larval stage	H3K27me3, No Antibody Control	2009-10-13	2009-10-15	GSM385341	L3_H3K27Me3
360	Celniker	Gingeras	Drosophila melanogaster	alignments	RNA-seq	embryo-derived cell-line	N/A	Kc167	late embryonic stage		2009-09-21	2009-09-23	GSM451044	Dm Kc167 m200 Tap RiboM C-tailed RNA-Seq NexAlign
362	Celniker	Gingeras	Drosophila melanogaster	alignments	RNA-seq	embryo-derived cell-line	N/A	S2-DRSC	late embryonic stage		2009-09-21	2009-09-23	GSM451127	Dm S2-DRSC m200 Tap RiboM C-tailed RNA-Seq NexAlign
364	Celniker	Gingeras	Drosophila melanogaster	alignments	RNA-seq	dorsal mesothoracic disc	N/A	CME W1 Cl.8+	third instar larval stage		2009-09-21	2009-09-23	GSM451031	Dm Cl.8 m200 Tap RiboM C-tailed RNA-Seq NexAlign
366	Celniker	Gingeras	Drosophila melanogaster	alignments	RNA-seq	CNS-derived cell-line	N/A	ML-DmBG3-c2	third instar larval stage		2009-09-21	2009-09-23	GSM450972	Dm BG3-c2 m200 Tap RiboM C-tailed RNA-Seq NexAlign
370	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		egg stage	H3K27me3, No Antibody Control	2009-10-09	2009-10-15	GSM384807	E20_24_H3K27me3 ChIP-chip
371	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip				second instar larval stage	H3K27me3, No Antibody Control	2009-10-09			L2_H3K27me3
372	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		adult stage	H3K27me3, No Antibody Control	2009-10-13	2009-10-15		AdultMale-H3K27me3
373	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		first instar larval stage	H3K27me3, No Antibody Control	2009-10-13	2009-10-15	GSM384817	L1_H3K27Me3
374	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		first instar larval stage	H3K9me3, No Antibody Control	2009-10-13	2009-10-15	GSM384750	L1_H3K9Me3
375	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		second instar larval stage	H3K9me3, No Antibody Control	2009-10-13	2009-10-15	GSM384760	L2_H3K9Me3
376	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 17	H3K27me3, No Antibody Control	2009-10-13	2009-10-15	GSM384797	E-16-20h_H3K27Me3
377	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 17	H3K9me3, No Antibody Control	2009-09-28	2009-10-15	GSM384741	E-20-24h-H3K9Me3
381	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip		y; cn bw sp		pupal stage	H3K9Ac, No Antibody Control	2009-10-09			Pupae_H3K9Ac
382	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip		y; cn bw sp		pupal stage	H3K4me3, No Antibody Control	2009-10-09			Pupae_H3K4me3
383	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip		y; cn bw sp		pupal stage	H3K4me1, No Antibody Control	2009-10-09			Pupae_H3K4me1
384	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip		y; cn bw sp		pupal stage	H3K27Ac, No Antibody Control	2009-10-09			Pupae_H3K27ac
386	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip		y; cn bw sp		third instar larval stage	H3K9Ac, No Antibody Control	2009-10-09			L3_H3K9ac
387	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip		y; cn bw sp		third instar larval stage	H3K4me3, No Antibody Control	2009-10-09			L3_H3K4me3
388	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip		y; cn bw sp		third instar larval stage	H3K4me1, No Antibody Control	2009-10-09			L3_H3K4me1
389	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip		y; cn bw sp		third instar larval stage	H3K27Ac, No Antibody Control	2009-10-09			L3_H3K27ac
391	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		second instar larval stage	H3K9Ac, No Antibody Control	2009-09-28		GSM386158	L2-H3K9AC
392	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		second instar larval stage	H3K4me3, No Antibody Control	2009-09-28		GSM386125	L2-H3K4Me3
393	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip		y; cn bw sp		second instar larval stage	H3K4me1, No Antibody Control	2009-10-09			L2_H3K4me1
394	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip		y; cn bw sp		second instar larval stage	H3K27Ac, No Antibody Control	2009-10-09			L2_H3K27ac
396	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		first instar larval stage	H3K9Ac, No Antibody Control	2009-09-28		GSM386148	L1-H3K9AC
397	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		first instar larval stage	H3K4me3, No Antibody Control	2009-09-28		GSM386115	L1-H3K4Me3
398	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip		y; cn bw sp		first instar larval stage	H3K4me1, No Antibody Control	2009-10-09			L1_H3K4me1
399	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip		y; cn bw sp		first instar larval stage	H3K27Ac, No Antibody Control	2009-10-09			L1_H3K27ac
401	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip		y; cn bw sp		embryonic stage 10, embryonic stage 11, embryonic stage 12, embryonic stage 9	H3K9Ac, No Antibody Control	2009-10-09			E4-8_H3K9ac
402	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 10, embryonic stage 11, embryonic stage 12, embryonic stage 9	H3K4me3, No Antibody Control	2009-09-28		GSM386088	E-4-8h-H3K4Me3
403	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 10, embryonic stage 11, embryonic stage 12, embryonic stage 9	H3K4me1, No Antibody Control	2009-09-28			E-4-8h-H3K4Me1
404	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 10, embryonic stage 11, embryonic stage 12, embryonic stage 9	H3K27Ac, No Antibody Control	2009-09-28			E-4-8h-H3K27AC
406	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip		y; cn bw sp		embryonic stage 17	H3K9Ac, No Antibody Control	2009-10-09			E20-24_H3K9ac
407	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 17	H3K4me3, No Antibody Control	2009-09-28		GSM386106	E-20-24h-H3K4Me3
408	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 17	H3K4me1, No Antibody Control	2009-09-28		GSM386069	E-20-24h-H3K4Me1
409	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip		y; cn bw sp		embryonic stage 17	H3K27Ac, No Antibody Control	2009-10-09			E20-24_H3K27ac
410	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip		y; cn bw sp		embryonic stage 17	H3K9me3, No Antibody Control	2009-10-09			E16-20_H3K9me3
411	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 17	H3K9Ac, No Antibody Control	2009-10-15	2009-10-15		E16-20_H3K9Ac ChIP-chip
412	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 17	H3K4me3, No Antibody Control	2009-09-28		GSM386097	E-16-20h-H3K4Me3
413	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 17	H3K4me1, No Antibody Control	2009-09-28		GSM386060	E-16-20h-H3K4Me1
414	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip		y; cn bw sp		embryonic stage 17	H3K27Ac, No Antibody Control	2009-10-09			E16-20_H3K27ac
415	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip		y; cn bw sp		embryonic stage 15, embryonic stage 16	H3K9me3, No Antibody Control	2009-10-09			E12-16_H3K9me3
416	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 15, embryonic stage 16	H3K9Ac, No Antibody Control	2009-09-28		GSM386138	E-12-16h-H3K9AC
417	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 15, embryonic stage 16	H3K4me3, No Antibody Control	2009-09-28		GSM385397	E-12-16h-H3K4Me3
418	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 15, embryonic stage 16	H3K4me1, No Antibody Control	2009-09-28		GSM386051	E-12-16h-H3K4Me1
419	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip		y; cn bw sp		embryonic stage 15, embryonic stage 16	H3K27Ac, No Antibody Control	2009-10-09			E12-16_H3K27ac
420	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip		y; cn bw sp		embryonic stage 1, embryonic stage 2, embryonic stage 3, embryonic stage 4, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9	H3K9me3, No Antibody Control	2009-10-09			E0-4_H3K9me3
421	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip		y; cn bw sp		embryonic stage 1, embryonic stage 2, embryonic stage 3, embryonic stage 4, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9	H3K9Ac, No Antibody Control	2009-10-09			E0-4_H3K9ac
422	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip		y; cn bw sp		embryonic stage 1, embryonic stage 2, embryonic stage 3, embryonic stage 4, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9	H3K4me3, No Antibody Control	2009-10-09			E0-4_H3K4me3
423	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 1, embryonic stage 2, embryonic stage 3, embryonic stage 4, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9	H3K4me1, No Antibody Control	2009-09-28			E-0-4h-H3K4Me1
424	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip		y; cn bw sp		embryonic stage 1, embryonic stage 2, embryonic stage 3, embryonic stage 4, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9	H3K27Ac, No Antibody Control	2009-09-28	2009-10-15		E-0-4h-H3K27Ac ChIP-chip
425	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		adult stage	H3K9me3, No Antibody Control	2009-10-09			AdMale_H3K9me3
426	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		adult stage	H3K9Ac, No Antibody Control	2009-10-09			AdMale_H3K9ac
427	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		adult stage	H3K4me3, No Antibody Control	2009-09-28	2009-10-13	GSM386996	AdultMale H3K4Me3 ChIP-chip
428	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		adult stage	H3K4me1, No Antibody Control	2009-09-28			AdultMale-H3K4Me1
429	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		adult stage	H3K9me3, No Antibody Control	2009-10-09			AdFem_H3K9me3
430	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		adult stage	H3K9Ac, No Antibody Control	2009-09-28			AdultFemale-H3K9AC
431	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		adult stage	H3K4me3, No Antibody Control	2009-10-09			AdFem_H3K4me3
432	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		adult stage	H3K4me1, No Antibody Control	2009-10-09			AdFem_H3K4me1
444	Henikoff	Henikoff	Drosophila melanogaster	signal data	RNA tiling array	embryo-derived cell-line	N/A	S2	late embryonic stage		2009-10-10	2009-10-16	GSM333864	Salt_Extracted_Pellet
513	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	whole organism	Oregon-R-modENCODE		early extended germ band stage, embryonic stage, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9		2009-09-22	2009-10-02	GSE16326, GSM409637, GSM409638, GSM409639	Dm_OregonR_embryo_2-4h_totalRNA_p200_127-128-129_38bp
514	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	whole organism	Oregon-R-modENCODE		egg stage, embryonic stage, embryonic stage 16, fertilized egg stage, late embryonic stage, unfertilized egg stage		2009-09-22	2009-10-02	GSE16327, GSM409640, GSM409641, GSM409642	Dm_OregonR_embryo_14-16h_totalRNA_p200_130-131-132_38bp
536	Henikoff	Henikoff	Drosophila melanogaster	signal data	RNA tiling array	embryo-derived cell-line	N/A	S2, S2-DRSC	late embryonic stage		2009-09-17	2009-10-16	GSM333846	80mM_Salt_Extracted_Chromatin
538	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		larval stage, third instar larval stage		2009-09-22	2009-09-29		Dro2_AS_Dm_L3-12hr_larvae
539	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		larval stage		2009-09-22	2009-09-27		Dro2_AS_L3-larvae-clear
540	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		larval stage, third instar larval stage		2009-09-22	2009-10-02		Dro2_AS_L3-larvae-light-blue
541	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		pharate adult stage, pharate adult stage P8		2009-09-22	2009-09-24		Dro2_AS_Dm_WPP+2days
542	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		pharate adult stage, pharate adult stage P9		2009-09-22	2009-09-24	GSE16328, GSM409643, GSM409644, GSM409645	Dm_y[1]cn[1] bw[1] sp[1]_pupa_WhitePrePupaep3day_TotalRNA_p200_350-352-354_38bp
543	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		pharate adult stage, pharate adult stage P15, pharate adult stage P15(i)		2009-09-22	2009-09-24	GSE16329, GSM409646, GSM409647, GSM409648	Dro2_AS_Dm_WPP+4days
544	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		prepupal stage, prepupal stage P4, prepupal stage P4(i), prepupal stage P4(ii)		2009-09-30	2009-10-02		Dm_y[1]cn[1] bw[1] sp[1]_prepupa_WhitePrePupap12h_TotalRNA_p200_332-334-336_38bp
545	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		pupal stage, pupal stage P6		2009-09-22	2009-09-24	GSE16330, GSM409649, GSM409650, GSM409651	Dro2_AS_Dm_WPP+24hr
555	Celniker	Cherbas	Drosophila melanogaster	N/A (metadata only)	RNA sample creation	embryo-derived cell-line, embryonic/larval hemocyte, dorsal mesothoracic disc, ventral prothoracic disc, CNS-derived cell-line, imaginal disc-derived cell-line, eye-antenna disc-derived cell-line, antenna disc-derived cell-line	N/A	Kc167, GM2, S2-DRSC, S2R+, S1, 1182-4H, mbn2, ML-DmD21, CME W1 Cl.8+, ML-DmD9, CME L1, G2, S3, ML-DmD23-c4, ML-DmBG1-c1, ML-DmBG3-c2, ML-DmD16-c3, ML-DmD4-c1, ML-DmD32, ML-DmD11, ML-DmD20-c2, ML-DmD20-c5, ML-DmD17-c3, Sg4, ML-DmD8, CME W2, ML-DmBG2-c2	late embryonic stage, third instar larval stage	N/A	2009-09-21	2009-09-21		Cell line Total RNA samples
559	Celniker	Cherbas	Drosophila melanogaster	N/A (metadata only)	RNA sample creation	embryo-derived cell-line, CNS-derived cell-line, dorsal mesothoracic disc	N/A	Kc167, S2-DRSC, ML-DmBG3-c2, CME W1 Cl.8+	late embryonic stage, third instar larval stage	N/A	2009-09-21	2009-09-21		Cell line Nuclear RNA samples
560	Celniker	Cherbas	Drosophila melanogaster	N/A (metadata only)	RNA sample creation	embryo-derived cell-line, CNS-derived cell-line, dorsal mesothoracic disc	N/A	G2, Kc167, S2-DRSC, ML-DmBG3-c2, CME W1 Cl.8+	late embryonic stage, third instar larval stage	N/A	2009-09-21	2009-09-21		Cell line polyA RNA samples
574	Celniker	Cherbas	Drosophila melanogaster	N/A (metadata only)	RNA sample creation	whole organism	Oregon-R-modENCODE, y; cn bw sp		adult stage, cleavage stage, dorsal closure stage, early extended germ band stage, egg stage, embryonic stage, embryonic stage 1, embryonic stage 10, embryonic stage 11, embryonic stage 12, embryonic stage 13, embryonic stage 14, embryonic stage 15, embryonic stage 16, embryonic stage 17, embryonic stage 2, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9, extended germ band stage, fertilized egg stage, first instar larval stage, gastrula stage, larval stage, late embryonic stage, late extended germ band stage, pharate adult stage, pharate adult stage P15, pharate adult stage P15(i), pharate adult stage P8, pharate adult stage P9, pre-blastoderm stage, prepupal stage, prepupal stage P1, prepupal stage P4, prepupal stage P4(i), prepupal stage P4(ii), pupal stage, pupal stage P6, second instar larval stage, third instar larval stage, unfertilized egg stage	N/A	2009-09-18	2009-09-18		Dev Timecourse TotalRNA isolation
577	Celniker	Cherbas	Drosophila melanogaster	N/A (metadata only)	RNA sample creation	whole organism, early embryonic cell, blastoderm cell, gastrula cell	y; cn bw sp		cleavage stage, dorsal closure stage, early extended germ band stage, egg stage, embryonic stage, embryonic stage 1, embryonic stage 10, embryonic stage 11, embryonic stage 12, embryonic stage 13, embryonic stage 14, embryonic stage 15, embryonic stage 16, embryonic stage 17, embryonic stage 2, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9, extended germ band stage, fertilized egg stage, gastrula stage, late embryonic stage, late extended germ band stage, pre-blastoderm stage, unfertilized egg stage	N/A	2009-09-21	2009-09-21		Dev Timecourse polyA RNA samples
581	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		adult stage	H3K9Ac, No Antibody Control	2009-10-09			AdFem_H3K9ac
597	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 1, embryonic stage 10, embryonic stage 11, embryonic stage 12, embryonic stage 13, embryonic stage 14, embryonic stage 15, embryonic stage 2, embryonic stage 3, embryonic stage 4, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9	GROUCHO, No Antibody Control	2009-09-28	2009-10-16		E0-12 GROAviva ChIP-chip
598	Henikoff	Henikoff	Drosophila melanogaster	signal data	RNA tiling array	embryo-derived cell-line	N/A	S2, S2-DRSC	late embryonic stage		2009-10-10	2009-10-16	GSM333859	80-150_mM_Salt_Extracted_Chromatin
601	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip		y; cn bw sp		pupal stage	SNR1, No Antibody Control	2009-09-28	2009-10-15		Pupae-snr1 ChIP-chip
602	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip		y; cn bw sp		pupal stage	brahma, No Antibody Control	2009-09-28	2009-10-16		pupae-brm ChIP-chip
