Submission ID	Project	Lab	Organism	Status	Data Type	Assay	Tissue	Strain	Cell Line	Stage/Treatment	Antibody	Compound	Platform	RNAi Target	Date Data Submitted	Release Date	GEO/SRA IDs	Name
2416	Snyder	Snyder	Caenorhabditis elegans	tracks found	chromatin binding site signal data	ChIP-seq	whole organism	OP32		embryo	dpy-27		N/A		2009-10-13	2009-10-13	GSM388727	Snyder_DPY27_GFP_emb
2417	Snyder	Snyder	Caenorhabditis elegans	finding tracks failed	chromatin binding site signal data	ChIP-seq	whole organism	OP81		L3 larva	eor-1		N/A		2009-10-13	2009-10-14		Snyder_EOR-1_GFP_L3
2418	Snyder	Snyder	Caenorhabditis elegans	validation failed	chromatin binding site signal data	ChIP-seq	whole organism	OP74		L3 larva	Enhanced Green Fluorescent Protein		N/A		2009-10-13	2009-11-08		Snyder_HLH-8_GFP_L3
2429	Snyder	Snyder	Caenorhabditis elegans	finding tracks failed	chromatin binding site signal data	ChIP-seq	whole organism	OP62		L2 larva	Enhanced Green Fluorescent Protein		N/A		2009-10-13	2009-10-16		Snyder_LIN-11_GFP_L2
2430	Snyder	Snyder	Caenorhabditis elegans	finding tracks failed	chromatin binding site signal data	ChIP-seq	whole organism	OP77		L1 larva	Enhanced Green Fluorescent Protein		N/A		2009-10-13	2009-10-14		Snyder_UNC-130_GFP_L1
2431	Snyder	Snyder	Caenorhabditis elegans	finding tracks failed	chromatin binding site signal data	ChIP-seq	whole organism	OP64		embryo	Enhanced Green Fluorescent Protein		N/A		2009-10-13	2009-10-14		Snyder_HLH-1_GFP_emb
2432	Snyder	Snyder	Caenorhabditis elegans	finding tracks failed	chromatin binding site signal data	ChIP-seq	whole organism	OP18		L3 larva	lin-39		N/A		2009-10-13	2009-10-15		Snyder_LIN-39_GFP_L3
2433	Snyder	Snyder	Caenorhabditis elegans	finding tracks failed	chromatin binding site signal data	ChIP-seq	whole organism	OP90		L2 larva	Enhanced Green Fluorescent Protein		N/A		2009-10-13	2009-10-14		Snyder_NHR-6_GFP_L2
2434	Snyder	Snyder	Caenorhabditis elegans	finding tracks failed	chromatin binding site signal data	ChIP-seq	whole organism	OP200		L2 larva	Enhanced Green Fluorescent Protein		N/A		2009-10-13	2009-10-14		Snyder_ALR-1_GFP_L2
2435	Snyder	Snyder	Caenorhabditis elegans	finding tracks failed	chromatin binding site signal data	ChIP-seq	whole organism	N2		blastula embryo, gastrulating embryo	RNA Polymerase II		N/A		2009-10-13	2009-10-14		Snyder_N2_POLII_eemb
2436	Snyder	Snyder	Caenorhabditis elegans	finding tracks failed	chromatin binding site signal data	ChIP-seq	whole organism	N2		elongating embryo, enclosing embryo, fully-elongated embryo, late cleavage stage embryo	RNA Polymerase II		N/A		2009-10-13	2009-10-14		Snyder_N2_POLII_lemb
2437	Snyder	Snyder	Caenorhabditis elegans	finding tracks failed	chromatin binding site signal data	ChIP-seq	whole organism	N2		L1 larva	RNA Polymerase II		N/A		2009-10-13	2009-10-14		Snyder_N2_POLII_L1
2438	Snyder	Snyder	Caenorhabditis elegans	finding tracks failed	chromatin binding site signal data	ChIP-seq	whole organism	N2		L2 larva	RNA Polymerase II		N/A		2009-10-13	2009-10-14		Snyder_N2_POLII_L2
2439	Snyder	Snyder	Caenorhabditis elegans	finding tracks failed	chromatin binding site signal data	ChIP-seq	whole organism	N2		L3 larva	RNA Polymerase II		N/A		2009-10-13	2009-10-14		Snyder_N2_POLII_L3
2440	Snyder	Snyder	Caenorhabditis elegans	finding tracks failed	chromatin binding site signal data	ChIP-seq	whole organism	N2		L4 larva	RNA Polymerase II		N/A		2009-10-13	2009-10-14		Snyder_N2_POLII_L4
2441	Snyder	Snyder	Caenorhabditis elegans	finding tracks failed	chromatin binding site signal data	ChIP-seq	whole organism	N2		newly molted young adult hermaphrodite	RNA Polymerase II		N/A		2009-10-13	2009-10-14		Snyder_N2_POLII_YA
2442	Lieb	Lieb	Caenorhabditis elegans	validated	chromatin binding site signal data	ChIP-chip	whole organism	N2		embryo	H3K79me2, No Antibody Control		Nimblegen		2009-10-13	2009-11-06		AB3594_H3K79ME2346021_N2_EEMB
2443	Lieb	Lieb	Caenorhabditis elegans	uploaded	chromatin binding site signal data	ChIP-chip	whole organism	N2		embryo	H3K79me3, No Antibody Control		Nimblegen		2009-10-14	2009-11-09		AB2621_H3K79ME3361576_N2_EEMB
2444	Lieb	Strome	Caenorhabditis elegans	validated	chromatin binding site signal data	ChIP-chip	whole organism	N2		embryo	H3K9me2, No Antibody Control		Nimblegen		2009-10-14	2009-11-06		HK00008_H3K9ME26D11_N2_EEMB
2445	Lieb	Strome	Caenorhabditis elegans	validated	chromatin binding site signal data	ChIP-chip	whole organism	N2		embryo	H3K4me2, No Antibody Control		Nimblegen		2009-10-15	2009-11-06		WA30834809_H3K4ME2_N2_EEMB
2446	Lieb	Desai	Caenorhabditis elegans	validated	chromatin binding site signal data	ChIP-chip	whole organism	N2		embryo	HCP-3, No Antibody Control		Nimblegen		2009-10-15	2009-11-06		OD00079_HCP3_N2_MXEMB
2450	Snyder	Snyder	Caenorhabditis elegans	finding tracks failed	chromatin binding site signal data	ChIP-seq	whole organism	OP87		L4 larva	Enhanced Green Fluorescent Protein		N/A		2009-10-15	2009-10-15		Snyder_PES1_GFP_L4
2451	Snyder	Snyder	Caenorhabditis elegans	finding tracks failed	chromatin binding site signal data	ChIP-seq	whole organism	OP179		L4 larva	Enhanced Green Fluorescent Protein		N/A		2009-10-15	2009-10-15		Snyder_GEI11_GFP_L4
2452	Snyder	Snyder	Caenorhabditis elegans	finding tracks failed	chromatin binding site signal data	ChIP-seq	whole organism	OP37		L2 larva	pha-4		N/A		2009-10-15	2009-10-15		Snyder_PHA4_GFP_L2
2453	Snyder	Snyder	Caenorhabditis elegans	finding tracks failed	chromatin binding site signal data	ChIP-seq	whole organism	OP54		L3 larva	egl-5		N/A		2009-10-15	2009-10-15		Snyder_EGL5_GFP_L3
2454	Waterston	Miller	Caenorhabditis elegans	tracks found	transcript fragments, signal data	ChIP-chip	whole organism, hypodermis	NC1790		L3-L4 molt	dpy-7		Affymetrix		2009-10-15	2009-11-07		L3-L4 hypodermal cells tiling array
2455	Piano	Piano	Caenorhabditis elegans	released	raw sequences	RNA-seq	whole organism	N2		L1 larva			N/A		2009-10-18	2009-11-04	GSM446652	3' UTR Staged 454 Sequencing - L1 - sequences
2456	Piano	Piano	Caenorhabditis elegans	released	raw sequences	RNA-seq	whole organism	N2		L2 larva			N/A		2009-10-18	2009-11-04	GSM446653	3' UTR Staged 454 Sequencing - L2 - sequences
2457	Piano	Piano	Caenorhabditis elegans	released	raw sequences	RNA-seq	whole organism	N2		L3 larva			N/A		2009-10-18	2009-11-04	GSM446654	3' UTR Staged 454 Sequencing - L3 - sequences
2458	Piano	Piano	Caenorhabditis elegans	released	raw sequences	RNA-seq	whole organism	N2		L4 larva			N/A		2009-10-18	2009-11-04	GSM446655	3' UTR Staged 454 Sequencing - L4 - sequences
2459	Piano	Piano	Caenorhabditis elegans	released	raw sequences	RNA-seq	whole organism	CB1489		adult male			N/A		2009-10-18	2009-11-04	GSM446657	3' UTR Staged 454 Sequencing - male adult - sequences
2460	Piano	Piano	Caenorhabditis elegans	released	raw sequences	RNA-seq	whole organism	N2		adult			N/A		2009-10-18	2009-11-04	GSM446656	3' UTR Staged 454 Sequencing - hermaphrodite adult - sequences
2461	Piano	Piano	Caenorhabditis elegans	released	raw sequences	RNA-seq	whole organism	CB1370		dauer larva			N/A		2009-10-18	2009-11-04	GSM446658	3' UTR Staged 454 Sequencing - daf-2 - sequences
2462	Piano	Piano	Caenorhabditis elegans	released	raw sequences	RNA-seq	whole organism	CB1372		dauer larva			N/A		2009-10-18	2009-11-04	GSM446659	3' UTR Staged 454 Sequencing - daf-7 - sequences
2463	Piano	Piano	Caenorhabditis elegans	released	raw sequences	RNA-seq	whole organism	DR2281		dauer larva			N/A		2009-10-18	2009-11-04	GSM446660	3' UTR Staged 454 Sequencing - daf-9 - sequences
2464	Piano	Piano	Caenorhabditis elegans	released	raw sequences	RNA-seq	whole organism	DR47		dauer larva			N/A		2009-10-18	2009-11-04	GSM446661	3' UTR Staged 454 Sequencing - daf-11 - sequences
2465	Piano	Piano	Caenorhabditis elegans	released	raw sequences	RNA-seq	whole organism	N2		embryo			N/A		2009-10-19	2009-11-06	GSM446651	3' UTR Staged 454 Sequencing - embryo - sequences
